TimeStamp,Unit,,,TimeStamp,,Values_60
16:30:54.270 -> 45.0,kPa,,,30:54.3,->,45
16:30:54.364 -> 43.0,kPa,,,30:54.4,->,43
16:30:54.457 -> 46.9,kPa,,,30:54.5,->,46.9
16:30:54.551 -> 46.9,kPa,,,30:54.6,->,46.9
16:30:54.692 -> 48.9,kPa,,,30:54.7,->,48.9
16:30:54.786 -> 48.9,kPa,,,30:54.8,->,48.9
16:30:54.879 -> 50.8,kPa,,,30:54.9,->,50.8
16:30:54.973 -> 52.8,kPa,,,30:55.0,->,52.8
16:30:55.082 -> 50.8,kPa,,,30:55.1,->,50.8
16:30:55.176 -> 52.8,kPa,,,30:55.2,->,52.8
16:30:55.270 -> 52.8,kPa,,,30:55.3,->,52.8
16:30:55.364 -> 52.8,kPa,,,30:55.4,->,52.8
16:30:55.458 -> 50.8,kPa,,,30:55.5,->,50.8
16:30:55.598 -> 48.9,kPa,,,30:55.6,->,48.9
16:30:55.692 -> 46.9,kPa,,,30:55.7,->,46.9
16:30:55.786 -> 46.9,kPa,,,30:55.8,->,46.9
16:30:55.880 -> 46.9,kPa,,,30:55.9,->,46.9
16:30:55.973 -> 46.9,kPa,,,30:56.0,->,46.9
16:30:56.067 -> 48.9,kPa,,,30:56.1,->,48.9
16:30:56.161 -> 46.9,kPa,,,30:56.2,->,46.9
16:30:56.302 -> 46.9,kPa,,,30:56.3,->,46.9
16:30:56.395 -> 48.9,kPa,,,30:56.4,->,48.9
16:30:56.489 -> 48.9,kPa,,,30:56.5,->,48.9
16:30:56.583 -> 50.8,kPa,,,30:56.6,->,50.8
16:30:56.677 -> 52.8,kPa,,,30:56.7,->,52.8
16:30:56.770 -> 50.8,kPa,,,30:56.8,->,50.8
16:30:56.864 -> 50.8,kPa,,,30:56.9,->,50.8
16:30:57.005 -> 48.9,kPa,,,30:57.0,->,48.9
16:30:57.099 -> 50.8,kPa,,,30:57.1,->,50.8
16:30:57.192 -> 50.8,kPa,,,30:57.2,->,50.8
16:30:57.286 -> 50.8,kPa,,,30:57.3,->,50.8
16:30:57.380 -> 50.8,kPa,,,30:57.4,->,50.8
16:30:57.474 -> 50.8,kPa,,,30:57.5,->,50.8
16:30:57.568 -> 52.8,kPa,,,30:57.6,->,52.8
16:30:57.708 -> 54.7,kPa,,,30:57.7,->,54.7
16:30:57.802 -> 54.7,kPa,,,30:57.8,->,54.7
16:30:57.896 -> 52.8,kPa,,,30:57.9,->,52.8
16:30:57.990 -> 52.8,kPa,,,30:58.0,->,52.8
16:30:58.099 -> 54.7,kPa,,,30:58.1,->,54.7
16:30:58.193 -> 52.8,kPa,,,30:58.2,->,52.8
16:30:58.286 -> 54.7,kPa,,,30:58.3,->,54.7
16:30:58.380 -> 54.7,kPa,,,30:58.4,->,54.7
16:30:58.474 -> 54.7,kPa,,,30:58.5,->,54.7
16:30:58.615 -> 54.7,kPa,,,30:58.6,->,54.7
16:30:58.709 -> 52.8,kPa,,,30:58.7,->,52.8
16:30:58.802 -> 54.7,kPa,,,30:58.8,->,54.7
16:30:58.896 -> 54.7,kPa,,,30:58.9,->,54.7
16:30:58.990 -> 52.8,kPa,,,30:59.0,->,52.8
16:30:59.084 -> 52.8,kPa,,,30:59.1,->,52.8
16:30:59.177 -> 52.8,kPa,,,30:59.2,->,52.8
16:30:59.318 -> 50.8,kPa,,,30:59.3,->,50.8
16:30:59.412 -> 50.8,kPa,,,30:59.4,->,50.8
16:30:59.506 -> 50.8,kPa,,,30:59.5,->,50.8
16:30:59.599 -> 52.8,kPa,,,30:59.6,->,52.8
16:30:59.693 -> 52.8,kPa,,,30:59.7,->,52.8
16:30:59.787 -> 50.8,kPa,,,30:59.8,->,50.8
16:30:59.881 -> 50.8,kPa,,,30:59.9,->,50.8
16:31:00.022 -> 48.9,kPa,,,31:00.0,->,48.9
16:31:00.115 -> 50.8,kPa,,,31:00.1,->,50.8
16:31:00.209 -> 50.8,kPa,,,31:00.2,->,50.8
16:31:00.303 -> 50.8,kPa,,,31:00.3,->,50.8
16:31:00.397 -> 48.9,kPa,,,31:00.4,->,48.9
16:31:00.490 -> 50.8,kPa,,,31:00.5,->,50.8
16:31:00.584 -> 50.8,kPa,,,31:00.6,->,50.8
16:31:00.725 -> 48.9,kPa,,,31:00.7,->,48.9
16:31:00.818 -> 48.9,kPa,,,31:00.8,->,48.9
16:31:00.912 -> 52.8,kPa,,,31:00.9,->,52.8
16:31:01.006 -> 50.8,kPa,,,31:01.0,->,50.8
16:31:01.115 -> 50.8,kPa,,,31:01.1,->,50.8
16:31:01.209 -> 50.8,kPa,,,31:01.2,->,50.8
16:31:01.303 -> 52.8,kPa,,,31:01.3,->,52.8
16:31:01.397 -> 50.8,kPa,,,31:01.4,->,50.8
16:31:01.491 -> 52.8,kPa,,,31:01.5,->,52.8
16:31:01.631 -> 50.8,kPa,,,31:01.6,->,50.8
