TimeStamp,Unit,,,TimeStamp,,Values
16:11:24.887 -> 95.7,kPa,,,11:24.9,->,95.7
16:11:24.982 -> 95.7,kPa,,,11:25.0,->,95.7
16:11:25.078 -> 95.7,kPa,,,11:25.1,->,95.7
16:11:25.174 -> 95.7,kPa,,,11:25.2,->,95.7
16:11:25.269 -> 95.7,kPa,,,11:25.3,->,95.7
16:11:25.365 -> 95.7,kPa,,,11:25.4,->,95.7
16:11:25.460 -> 95.7,kPa,,,11:25.5,->,95.7
16:11:25.555 -> 95.7,kPa,,,11:25.6,->,95.7
16:11:25.697 -> 95.7,kPa,,,11:25.7,->,95.7
16:11:25.792 -> 95.7,kPa,,,11:25.8,->,95.7
16:11:25.887 -> 95.7,kPa,,,11:25.9,->,95.7
16:11:25.982 -> 95.7,kPa,,,11:26.0,->,95.7
16:11:26.076 -> 95.7,kPa,,,11:26.1,->,95.7
16:11:26.171 -> 95.7,kPa,,,11:26.2,->,95.7
16:11:26.267 -> 95.7,kPa,,,11:26.3,->,95.7
16:11:26.378 -> 95.7,kPa,,,11:26.4,->,95.7
16:11:26.459 -> 95.7,kPa,,,11:26.5,->,95.7
16:11:26.572 -> 95.7,kPa,,,11:26.6,->,95.7
16:11:26.707 -> 95.7,kPa,,,11:26.7,->,95.7
16:11:26.794 -> 95.7,kPa,,,11:26.8,->,95.7
16:11:26.874 -> 97.7,kPa,,,11:26.9,->,97.7
16:11:26.973 -> 97.7,kPa,,,11:27.0,->,97.7
16:11:27.073 -> 99.6,kPa,,,11:27.1,->,99.6
16:11:27.199 -> 93.8,kPa,,,11:27.2,->,93.8
16:11:27.287 -> 89.9,kPa,,,11:27.3,->,89.9
16:11:27.382 -> 86.0,kPa,,,11:27.4,->,86
16:11:27.478 -> 84.0,kPa,,,11:27.5,->,84
16:11:27.581 -> 86.0,kPa,,,11:27.6,->,86
16:11:27.709 -> 82.1,kPa,,,11:27.7,->,82.1
16:11:27.798 -> 82.1,kPa,,,11:27.8,->,82.1
16:11:27.893 -> 82.1,kPa,,,11:27.9,->,82.1
16:11:27.989 -> 82.1,kPa,,,11:28.0,->,82.1
16:11:28.085 -> 76.2,kPa,,,11:28.1,->,76.2
16:11:28.180 -> 82.1,kPa,,,11:28.2,->,82.1
16:11:28.275 -> 82.1,kPa,,,11:28.3,->,82.1
16:11:28.401 -> 80.1,kPa,,,11:28.4,->,80.1
16:11:28.496 -> 78.2,kPa,,,11:28.5,->,78.2
16:11:28.591 -> 82.1,kPa,,,11:28.6,->,82.1
16:11:28.686 -> 87.9,kPa,,,11:28.7,->,87.9
16:11:28.782 -> 89.9,kPa,,,11:28.8,->,89.9
16:11:28.877 -> 93.8,kPa,,,11:28.9,->,93.8
16:11:28.971 -> 93.8,kPa,,,11:29.0,->,93.8
16:11:29.113 -> 93.8,kPa,,,11:29.1,->,93.8
16:11:29.207 -> 91.8,kPa,,,11:29.2,->,91.8
16:11:29.271 -> 87.9,kPa,,,11:29.3,->,87.9
16:11:29.421 -> 87.9,kPa,,,11:29.4,->,87.9
16:11:29.479 -> 87.9,kPa,,,11:29.5,->,87.9
16:11:29.575 -> 86.0,kPa,,,11:29.6,->,86
16:11:29.717 -> 89.9,kPa,,,11:29.7,->,89.9
16:11:29.812 -> 93.8,kPa,,,11:29.8,->,93.8
16:11:29.899 -> 95.7,kPa,,,11:29.9,->,95.7
16:11:29.987 -> 95.7,kPa,,,11:30.0,->,95.7
16:11:30.082 -> 95.7,kPa,,,11:30.1,->,95.7
16:11:30.224 -> 95.7,kPa,,,11:30.2,->,95.7
16:11:30.319 -> 95.7,kPa,,,11:30.3,->,95.7
16:11:30.399 -> 93.8,kPa,,,11:30.4,->,93.8
16:11:30.494 -> 91.8,kPa,,,11:30.5,->,91.8
16:11:30.590 -> 89.9,kPa,,,11:30.6,->,89.9
16:11:30.685 -> 89.9,kPa,,,11:30.7,->,89.9
16:11:30.783 -> 89.9,kPa,,,11:30.8,->,89.9
16:11:30.906 -> 89.9,kPa,,,11:30.9,->,89.9
16:11:31.001 -> 95.7,kPa,,,11:31.0,->,95.7
16:11:31.127 -> 95.7,kPa,,,11:31.1,->,95.7
16:11:31.222 -> 95.7,kPa,,,11:31.2,->,95.7
16:11:31.317 -> 95.7,kPa,,,11:31.3,->,95.7
16:11:31.411 -> 95.7,kPa,,,11:31.4,->,95.7
16:11:31.506 -> 97.7,kPa,,,11:31.5,->,97.7
16:11:31.601 -> 97.7,kPa,,,11:31.6,->,97.7
16:11:31.696 -> 97.7,kPa,,,11:31.7,->,97.7
16:11:31.791 -> 97.7,kPa,,,11:31.8,->,97.7
16:11:31.901 -> 95.7,kPa,,,11:31.9,->,95.7
16:11:32.028 -> 95.7,kPa,,,11:32.0,->,95.7
16:11:32.123 -> 97.7,kPa,,,11:32.1,->,97.7
16:11:32.217 -> 95.7,kPa,,,11:32.2,->,95.7
16:11:32.314 -> 95.7,kPa,,,11:32.3,->,95.7
16:11:32.422 -> 95.7,kPa,,,11:32.4,->,95.7
16:11:32.517 -> 95.7,kPa,,,11:32.5,->,95.7
16:11:32.613 -> 95.7,kPa,,,11:32.6,->,95.7
16:11:32.708 -> 93.8,kPa,,,11:32.7,->,93.8
16:11:32.804 -> 93.8,kPa,,,11:32.8,->,93.8
16:11:32.898 -> 93.8,kPa,,,11:32.9,->,93.8
16:11:33.009 -> 93.8,kPa,,,11:33.0,->,93.8
16:11:33.104 -> 93.8,kPa,,,11:33.1,->,93.8
16:11:33.198 -> 95.7,kPa,,,11:33.2,->,95.7
16:11:33.341 -> 93.8,kPa,,,11:33.3,->,93.8
16:11:33.423 -> 91.8,kPa,,,11:33.4,->,91.8
16:11:33.515 -> 91.8,kPa,,,11:33.5,->,91.8
16:11:33.610 -> 86.0,kPa,,,11:33.6,->,86
16:11:33.704 -> 84.0,kPa,,,11:33.7,->,84
16:11:33.799 -> 86.0,kPa,,,11:33.8,->,86
16:11:33.943 -> 89.9,kPa,,,11:33.9,->,89.9
16:11:34.000 -> 93.8,kPa,,,11:34.0,->,93.8
16:11:34.117 -> 95.7,kPa,,,11:34.1,->,95.7
16:11:34.212 -> 95.7,kPa,,,11:34.2,->,95.7
16:11:34.340 -> 95.7,kPa,,,11:34.3,->,95.7
16:11:34.420 -> 95.7,kPa,,,11:34.4,->,95.7
16:11:34.521 -> 93.8,kPa,,,11:34.5,->,93.8
16:11:34.611 -> 89.9,kPa,,,11:34.6,->,89.9
16:11:34.705 -> 89.9,kPa,,,11:34.7,->,89.9
16:11:34.846 -> 91.8,kPa,,,11:34.8,->,91.8
16:11:34.942 -> 95.7,kPa,,,11:34.9,->,95.7
16:11:35.036 -> 95.7,kPa,,,11:35.0,->,95.7
16:11:35.131 -> 97.7,kPa,,,11:35.1,->,97.7
16:11:35.227 -> 95.7,kPa,,,11:35.2,->,95.7
16:11:35.326 -> 95.7,kPa,,,11:35.3,->,95.7
16:11:35.415 -> 95.7,kPa,,,11:35.4,->,95.7
16:11:35.510 -> 93.8,kPa,,,11:35.5,->,93.8
16:11:35.652 -> 91.8,kPa,,,11:35.7,->,91.8
16:11:35.751 -> 91.8,kPa,,,11:35.8,->,91.8
