TimeStamp,,,,TimeStamp,,Values_At_45
17:19:55.522 -> 78.2208.00,,,,19:55.5,->,78.2208.00
17:19:55.617 -> 74.3207.00,,,,19:55.6,->,74.3207.00
17:19:55.711 -> 72.3206.00,,,,19:55.7,->,72.3206.00
17:19:55.807 -> 70.3204.00,,,,19:55.8,->,70.3204.00
17:19:55.901 -> 66.4203.00,,,,19:55.9,->,66.4203.00
17:19:55.995 -> 64.5202.00,,,,19:56.0,->,64.5202.00
17:19:56.089 -> 62.5201.00,,,,19:56.1,->,62.5201.00
17:19:56.230 -> 60.6202.00,,,,19:56.2,->,60.6202.00
17:19:56.324 -> 62.5202.00,,,,19:56.3,->,62.5202.00
17:19:56.419 -> 62.5201.00,,,,19:56.4,->,62.5201.00
17:19:56.514 -> 60.6202.00,,,,19:56.5,->,60.6202.00
17:19:56.609 -> 62.5201.00,,,,19:56.6,->,62.5201.00
17:19:56.704 -> 60.6200.00,,,,19:56.7,->,60.6200.00
17:19:56.799 -> 58.6199.00,,,,19:56.8,->,58.6199.00
17:19:56.893 -> 56.7199.00,,,,19:56.9,->,56.7199.00
17:19:57.034 -> 56.7201.00,,,,19:57.0,->,56.7201.00
17:19:57.129 -> 60.6201.00,,,,19:57.1,->,60.6201.00
17:19:57.224 -> 60.6201.00,,,,19:57.2,->,60.6201.00
17:19:57.318 -> 60.6202.00,,,,19:57.3,->,60.6202.00
17:19:57.413 -> 62.5203.00,,,,19:57.4,->,62.5203.00
17:19:57.510 -> 64.5204.00,,,,19:57.5,->,64.5204.00
17:19:57.604 -> 66.4206.00,,,,19:57.6,->,66.4206.00
17:19:57.703 -> 70.3205.00,,,,19:57.7,->,70.3205.00
17:19:57.843 -> 68.4203.00,,,,19:57.8,->,68.4203.00
17:19:57.939 -> 64.5202.00,,,,19:57.9,->,64.5202.00
17:19:58.033 -> 62.5201.00,,,,19:58.0,->,62.5201.00
17:19:58.127 -> 60.6200.00,,,,19:58.1,->,60.6200.00
17:19:58.206 -> 58.6202.00,,,,19:58.2,->,58.6202.00
17:19:58.346 -> 62.5202.00,,,,19:58.3,->,62.5202.00
17:19:58.440 -> 62.5203.00,,,,19:58.4,->,62.5203.00
17:19:58.538 -> 64.5203.00,,,,19:58.5,->,64.5203.00
17:19:58.630 -> 64.5204.00,,,,19:58.6,->,64.5204.00
17:19:58.725 -> 66.4205.00,,,,19:58.7,->,66.4205.00
17:19:58.819 -> 68.4205.00,,,,19:58.8,->,68.4205.00
17:19:58.913 -> 68.4207.00,,,,19:58.9,->,68.4207.00
17:19:59.007 -> 72.3208.00,,,,19:59.0,->,72.3208.00
17:19:59.147 -> 74.3209.00,,,,19:59.1,->,74.3209.00
17:19:59.241 -> 76.2210.00,,,,19:59.2,->,76.2210.00
17:19:59.335 -> 78.2210.00,,,,19:59.3,->,78.2210.00
17:19:59.430 -> 78.2209.00,,,,19:59.4,->,78.2209.00
17:19:59.525 -> 76.2210.00,,,,19:59.5,->,76.2210.00
17:19:59.622 -> 78.2210.00,,,,19:59.6,->,78.2210.00
17:19:59.764 -> 78.2210.00,,,,19:59.8,->,78.2210.00
17:19:59.859 -> 78.2211.00,,,,19:59.9,->,78.2211.00
17:19:59.953 -> 80.1210.00,,,,20:00.0,->,80.1210.00
17:20:00.048 -> 78.2210.00,,,,20:00.0,->,78.2210.00
17:20:00.143 -> 78.2210.00,,,,20:00.1,->,78.2210.00
17:20:00.237 -> 78.2210.00,,,,20:00.2,->,78.2210.00
17:20:00.331 -> 78.2210.00,,,,20:00.3,->,78.2210.00
17:20:00.425 -> 78.2210.00,,,,20:00.4,->,78.2210.00
17:20:00.567 -> 78.2210.00,,,,20:00.6,->,78.2210.00
17:20:00.661 -> 78.2210.00,,,,20:00.7,->,78.2210.00
17:20:00.756 -> 78.2210.00,,,,20:00.8,->,78.2210.00
17:20:00.850 -> 78.2209.00,,,,20:00.9,->,78.2209.00
17:20:00.944 -> 76.2208.00,,,,20:00.9,->,76.2208.00
17:20:01.037 -> 74.3209.00,,,,20:01.0,->,74.3209.00
17:20:01.178 -> 76.2210.00,,,,20:01.2,->,76.2210.00
17:20:01.272 -> 78.2210.00,,,,20:01.3,->,78.2210.00
17:20:01.366 -> 78.2210.00,,,,20:01.4,->,78.2210.00
17:20:01.459 -> 78.2210.00,,,,20:01.5,->,78.2210.00
17:20:01.557 -> 78.2209.00,,,,20:01.6,->,78.2209.00
17:20:01.649 -> 76.2210.00,,,,20:01.6,->,76.2210.00
17:20:01.745 -> 78.2210.00,,,,20:01.7,->,78.2210.00
