TimeStamp,Unit,,,TimeStamp,,Values
14:19:39.314 -> 97.7,kPa,,,19:39.3,->,97.7
14:19:39.409 -> 97.7,kPa,,,19:39.4,->,97.7
14:19:39.487 -> 97.7,kPa,,,19:39.5,->,97.7
14:19:39.596 -> 97.7,kPa,,,19:39.6,->,97.7
14:19:39.691 -> 97.7,kPa,,,19:39.7,->,97.7
14:19:39.785 -> 97.7,kPa,,,19:39.8,->,97.7
14:19:39.926 -> 97.7,kPa,,,19:39.9,->,97.7
14:19:40.021 -> 93.8,kPa,,,19:40.0,->,93.8
14:19:40.117 -> 93.8,kPa,,,19:40.1,->,93.8
14:19:40.210 -> 87.9,kPa,,,19:40.2,->,87.9
14:19:40.305 -> 86.0,kPa,,,19:40.3,->,86
14:19:40.400 -> 86.0,kPa,,,19:40.4,->,86
14:19:40.495 -> 84.0,kPa,,,19:40.5,->,84
14:19:40.589 -> 80.1,kPa,,,19:40.6,->,80.1
14:19:40.684 -> 76.2,kPa,,,19:40.7,->,76.2
14:19:40.827 -> 74.3,kPa,,,19:40.8,->,74.3
14:19:40.921 -> 68.4,kPa,,,19:40.9,->,68.4
14:19:41.017 -> 64.5,kPa,,,19:41.0,->,64.5
14:19:41.112 -> 64.5,kPa,,,19:41.1,->,64.5
14:19:41.206 -> 68.4,kPa,,,19:41.2,->,68.4
14:19:41.301 -> 70.3,kPa,,,19:41.3,->,70.3
14:19:41.411 -> 70.3,kPa,,,19:41.4,->,70.3
14:19:41.522 -> 72.3,kPa,,,19:41.5,->,72.3
14:19:41.616 -> 78.2,kPa,,,19:41.6,->,78.2
14:19:41.711 -> 82.1,kPa,,,19:41.7,->,82.1
14:19:41.806 -> 86.0,kPa,,,19:41.8,->,86
14:19:41.901 -> 89.9,kPa,,,19:41.9,->,89.9
14:19:41.996 -> 91.8,kPa,,,19:42.0,->,91.8
14:19:42.139 -> 91.8,kPa,,,19:42.1,->,91.8
14:19:42.234 -> 93.8,kPa,,,19:42.2,->,93.8
14:19:42.329 -> 95.7,kPa,,,19:42.3,->,95.7
14:19:42.424 -> 97.7,kPa,,,19:42.4,->,97.7
14:19:42.518 -> 97.7,kPa,,,19:42.5,->,97.7
14:19:42.614 -> 97.7,kPa,,,19:42.6,->,97.7
14:19:42.708 -> 97.7,kPa,,,19:42.7,->,97.7
14:19:42.803 -> 95.7,kPa,,,19:42.8,->,95.7
14:19:42.897 -> 95.7,kPa,,,19:42.9,->,95.7
14:19:43.039 -> 95.7,kPa,,,19:43.0,->,95.7
14:19:43.135 -> 95.7,kPa,,,19:43.1,->,95.7
14:19:43.230 -> 95.7,kPa,,,19:43.2,->,95.7
14:19:43.325 -> 97.7,kPa,,,19:43.3,->,97.7
14:19:43.421 -> 97.7,kPa,,,19:43.4,->,97.7
14:19:43.516 -> 97.7,kPa,,,19:43.5,->,97.7
14:19:43.612 -> 95.7,kPa,,,19:43.6,->,95.7
14:19:43.752 -> 89.9,kPa,,,19:43.8,->,89.9
14:19:43.848 -> 86.0,kPa,,,19:43.8,->,86
14:19:43.911 -> 82.1,kPa,,,19:43.9,->,82.1
14:19:44.038 -> 80.1,kPa,,,19:44.0,->,80.1
14:19:44.137 -> 78.2,kPa,,,19:44.1,->,78.2
14:19:44.226 -> 74.3,kPa,,,19:44.2,->,74.3
14:19:44.321 -> 70.3,kPa,,,19:44.3,->,70.3
14:19:44.419 -> 72.3,kPa,,,19:44.4,->,72.3
14:19:44.514 -> 78.2,kPa,,,19:44.5,->,78.2
14:19:44.652 -> 87.9,kPa,,,19:44.7,->,87.9
14:19:44.752 -> 89.9,kPa,,,19:44.8,->,89.9
14:19:44.841 -> 89.9,kPa,,,19:44.8,->,89.9
14:19:44.935 -> 89.9,kPa,,,19:44.9,->,89.9
14:19:45.031 -> 89.9,kPa,,,19:45.0,->,89.9
14:19:45.127 -> 84.0,kPa,,,19:45.1,->,84
14:19:45.222 -> 80.1,kPa,,,19:45.2,->,80.1
14:19:45.333 -> 80.1,kPa,,,19:45.3,->,80.1
14:19:45.428 -> 82.1,kPa,,,19:45.4,->,82.1
14:19:45.539 -> 86.0,kPa,,,19:45.5,->,86
14:19:45.634 -> 87.9,kPa,,,19:45.6,->,87.9
14:19:45.730 -> 89.9,kPa,,,19:45.7,->,89.9
14:19:45.824 -> 91.8,kPa,,,19:45.8,->,91.8
14:19:45.919 -> 91.8,kPa,,,19:45.9,->,91.8
14:19:46.061 -> 93.8,kPa,,,19:46.1,->,93.8
14:19:46.154 -> 95.7,kPa,,,19:46.2,->,95.7
14:19:46.260 -> 97.7,kPa,,,19:46.3,->,97.7
14:19:46.359 -> 95.7,kPa,,,19:46.4,->,95.7
14:19:46.444 -> 93.8,kPa,,,19:46.4,->,93.8
14:19:46.534 -> 91.8,kPa,,,19:46.5,->,91.8
14:19:46.630 -> 89.9,kPa,,,19:46.6,->,89.9
14:19:46.725 -> 86.0,kPa,,,19:46.7,->,86
14:19:46.861 -> 86.0,kPa,,,19:46.9,->,86
14:19:46.961 -> 84.0,kPa,,,19:47.0,->,84
14:19:47.056 -> 84.0,kPa,,,19:47.1,->,84
14:19:47.151 -> 87.9,kPa,,,19:47.2,->,87.9
14:19:47.246 -> 91.8,kPa,,,19:47.2,->,91.8
14:19:47.371 -> 93.8,kPa,,,19:47.4,->,93.8
14:19:47.421 -> 89.9,kPa,,,19:47.4,->,89.9
14:19:47.563 -> 87.9,kPa,,,19:47.6,->,87.9
14:19:47.658 -> 86.0,kPa,,,19:47.7,->,86
14:19:47.769 -> 86.0,kPa,,,19:47.8,->,86
14:19:47.848 -> 89.9,kPa,,,19:47.8,->,89.9
14:19:47.926 -> 93.8,kPa,,,19:47.9,->,93.8
14:19:48.020 -> 97.7,kPa,,,19:48.0,->,97.7
14:19:48.165 -> 97.7,kPa,,,19:48.2,->,97.7
14:19:48.262 -> 97.7,kPa,,,19:48.3,->,97.7
14:19:48.355 -> 95.7,kPa,,,19:48.4,->,95.7
14:19:48.455 -> 93.8,kPa,,,19:48.5,->,93.8
14:19:48.542 -> 89.9,kPa,,,19:48.5,->,89.9
14:19:48.638 -> 86.0,kPa,,,19:48.6,->,86
14:19:48.764 -> 80.1,kPa,,,19:48.8,->,80.1
14:19:48.863 -> 76.2,kPa,,,19:48.9,->,76.2
14:19:48.953 -> 74.3,kPa,,,19:49.0,->,74.3
14:19:49.048 -> 72.3,kPa,,,19:49.0,->,72.3
14:19:49.143 -> 74.3,kPa,,,19:49.1,->,74.3
14:19:49.237 -> 76.2,kPa,,,19:49.2,->,76.2
14:19:49.364 -> 78.2,kPa,,,19:49.4,->,78.2
14:19:49.460 -> 84.0,kPa,,,19:49.5,->,84
14:19:49.540 -> 86.0,kPa,,,19:49.5,->,86
14:19:49.635 -> 89.9,kPa,,,19:49.6,->,89.9
14:19:49.777 -> 91.8,kPa,,,19:49.8,->,91.8
14:19:49.871 -> 93.8,kPa,,,19:49.9,->,93.8
14:19:49.965 -> 93.8,kPa,,,19:50.0,->,93.8
14:19:50.060 -> 93.8,kPa,,,19:50.1,->,93.8
14:19:50.150 -> 91.8,kPa,,,19:50.1,->,91.8
14:19:50.236 -> 87.9,kPa,,,19:50.2,->,87.9
14:19:50.378 -> 82.1,kPa,,,19:50.4,->,82.1
14:19:50.473 -> 76.2,kPa,,,19:50.5,->,76.2
14:19:50.604 -> 80.1,kPa,,,19:50.6,->,80.1
14:19:50.647 -> 84.0,kPa,,,19:50.6,->,84
14:19:50.759 -> 91.8,kPa,,,19:50.8,->,91.8
14:19:50.853 -> 91.8,kPa,,,19:50.9,->,91.8
14:19:50.948 -> 91.8,kPa,,,19:50.9,->,91.8
14:19:51.044 -> 93.8,kPa,,,19:51.0,->,93.8
14:19:51.140 -> 95.7,kPa,,,19:51.1,->,95.7
14:19:51.283 -> 97.7,kPa,,,19:51.3,->,97.7
14:19:51.346 -> 95.7,kPa,,,19:51.3,->,95.7
14:19:51.442 -> 95.7,kPa,,,19:51.4,->,95.7
14:19:51.583 -> 95.7,kPa,,,19:51.6,->,95.7
14:19:51.678 -> 93.8,kPa,,,19:51.7,->,93.8
14:19:51.772 -> 93.8,kPa,,,19:51.8,->,93.8
14:19:51.867 -> 89.9,kPa,,,19:51.9,->,89.9
14:19:51.962 -> 91.8,kPa,,,19:52.0,->,91.8
14:19:52.043 -> 93.8,kPa,,,19:52.0,->,93.8
14:19:52.156 -> 95.7,kPa,,,19:52.2,->,95.7
14:19:52.252 -> 97.7,kPa,,,19:52.3,->,97.7
14:19:52.394 -> 97.7,kPa,,,19:52.4,->,97.7
14:19:52.490 -> 97.7,kPa,,,19:52.5,->,97.7
14:19:52.584 -> 97.7,kPa,,,19:52.6,->,97.7
14:19:52.693 -> 97.7,kPa,,,19:52.7,->,97.7
14:19:52.787 -> 97.7,kPa,,,19:52.8,->,97.7
14:19:52.882 -> 95.7,kPa,,,19:52.9,->,95.7
14:19:52.977 -> 93.8,kPa,,,19:53.0,->,93.8
14:19:53.072 -> 91.8,kPa,,,19:53.1,->,91.8
14:19:53.166 -> 91.8,kPa,,,19:53.2,->,91.8
14:19:53.294 -> 89.9,kPa,,,19:53.3,->,89.9
14:19:53.389 -> 87.9,kPa,,,19:53.4,->,87.9
14:19:53.485 -> 84.0,kPa,,,19:53.5,->,84
14:19:53.581 -> 84.0,kPa,,,19:53.6,->,84
14:19:53.675 -> 84.0,kPa,,,19:53.7,->,84
14:19:53.770 -> 87.9,kPa,,,19:53.8,->,87.9
14:19:53.866 -> 91.8,kPa,,,19:53.9,->,91.8
14:19:53.960 -> 89.9,kPa,,,19:54.0,->,89.9
14:19:54.103 -> 86.0,kPa,,,19:54.1,->,86
14:19:54.197 -> 80.1,kPa,,,19:54.2,->,80.1
14:19:54.291 -> 78.2,kPa,,,19:54.3,->,78.2
14:19:54.390 -> 82.1,kPa,,,19:54.4,->,82.1
14:19:54.482 -> 87.9,kPa,,,19:54.5,->,87.9
14:19:54.577 -> 89.9,kPa,,,19:54.6,->,89.9
14:19:54.678 -> 86.0,kPa,,,19:54.7,->,86
14:19:54.765 -> 84.0,kPa,,,19:54.8,->,84
14:19:54.907 -> 86.0,kPa,,,19:54.9,->,86
14:19:55.001 -> 91.8,kPa,,,19:55.0,->,91.8
14:19:55.096 -> 93.8,kPa,,,19:55.1,->,93.8
14:19:55.189 -> 93.8,kPa,,,19:55.2,->,93.8
14:19:55.284 -> 95.7,kPa,,,19:55.3,->,95.7
14:19:55.379 -> 95.7,kPa,,,19:55.4,->,95.7
14:19:55.475 -> 97.7,kPa,,,19:55.5,->,97.7
14:19:55.602 -> 99.6,kPa,,,19:55.6,->,99.6
14:19:55.699 -> 99.6,kPa,,,19:55.7,->,99.6
14:19:55.792 -> 97.7,kPa,,,19:55.8,->,97.7
14:19:55.887 -> 97.7,kPa,,,19:55.9,->,97.7
14:19:56.003 -> 97.7,kPa,,,19:56.0,->,97.7
14:19:56.091 -> 95.7,kPa,,,19:56.1,->,95.7
14:19:56.190 -> 95.7,kPa,,,19:56.2,->,95.7
14:19:56.286 -> 91.8,kPa,,,19:56.3,->,91.8
14:19:56.391 -> 89.9,kPa,,,19:56.4,->,89.9
14:19:56.486 -> 89.9,kPa,,,19:56.5,->,89.9
14:19:56.581 -> 87.9,kPa,,,19:56.6,->,87.9
14:19:56.675 -> 84.0,kPa,,,19:56.7,->,84
14:19:56.775 -> 80.1,kPa,,,19:56.8,->,80.1
14:19:56.912 -> 76.2,kPa,,,19:56.9,->,76.2
14:19:57.006 -> 72.3,kPa,,,19:57.0,->,72.3
14:19:57.101 -> 76.2,kPa,,,19:57.1,->,76.2
14:19:57.196 -> 82.1,kPa,,,19:57.2,->,82.1
14:19:57.292 -> 84.0,kPa,,,19:57.3,->,84
14:19:57.391 -> 89.9,kPa,,,19:57.4,->,89.9
14:19:57.497 -> 91.8,kPa,,,19:57.5,->,91.8
14:19:57.592 -> 91.8,kPa,,,19:57.6,->,91.8
14:19:57.686 -> 93.8,kPa,,,19:57.7,->,93.8
14:19:57.782 -> 89.9,kPa,,,19:57.8,->,89.9
14:19:57.891 -> 86.0,kPa,,,19:57.9,->,86
14:19:57.986 -> 86.0,kPa,,,19:58.0,->,86
14:19:58.081 -> 87.9,kPa,,,19:58.1,->,87.9
14:19:58.223 -> 89.9,kPa,,,19:58.2,->,89.9
14:19:58.318 -> 89.9,kPa,,,19:58.3,->,89.9
14:19:58.413 -> 89.9,kPa,,,19:58.4,->,89.9
14:19:58.509 -> 89.9,kPa,,,19:58.5,->,89.9
14:19:58.603 -> 89.9,kPa,,,19:58.6,->,89.9
14:19:58.697 -> 87.9,kPa,,,19:58.7,->,87.9
14:19:58.791 -> 84.0,kPa,,,19:58.8,->,84
14:19:58.887 -> 84.0,kPa,,,19:58.9,->,84
14:19:58.981 -> 84.0,kPa,,,19:59.0,->,84
14:19:59.094 -> 80.1,kPa,,,19:59.1,->,80.1
14:19:59.186 -> 78.2,kPa,,,19:59.2,->,78.2
14:19:59.329 -> 74.3,kPa,,,19:59.3,->,74.3
14:19:59.424 -> 70.3,kPa,,,19:59.4,->,70.3
14:19:59.519 -> 68.4,kPa,,,19:59.5,->,68.4
14:19:59.614 -> 68.4,kPa,,,19:59.6,->,68.4
14:19:59.708 -> 62.5,kPa,,,19:59.7,->,62.5
14:19:59.818 -> 60.6,kPa,,,19:59.8,->,60.6
14:19:59.915 -> 60.6,kPa,,,19:59.9,->,60.6
14:20:00.009 -> 64.5,kPa,,,20:00.0,->,64.5
14:20:00.104 -> 70.3,kPa,,,20:00.1,->,70.3
14:20:00.199 -> 70.3,kPa,,,20:00.2,->,70.3
14:20:00.294 -> 68.4,kPa,,,20:00.3,->,68.4
14:20:00.436 -> 72.3,kPa,,,20:00.4,->,72.3
14:20:00.531 -> 80.1,kPa,,,20:00.5,->,80.1
14:20:00.627 -> 89.9,kPa,,,20:00.6,->,89.9
14:20:00.706 -> 91.8,kPa,,,20:00.7,->,91.8
14:20:00.802 -> 95.7,kPa,,,20:00.8,->,95.7
14:20:00.901 -> 95.7,kPa,,,20:00.9,->,95.7
14:20:01.039 -> 93.8,kPa,,,20:01.0,->,93.8
14:20:01.134 -> 91.8,kPa,,,20:01.1,->,91.8
14:20:01.229 -> 93.8,kPa,,,20:01.2,->,93.8
14:20:01.323 -> 93.8,kPa,,,20:01.3,->,93.8
14:20:01.418 -> 89.9,kPa,,,20:01.4,->,89.9
14:20:01.512 -> 84.0,kPa,,,20:01.5,->,84
14:20:01.620 -> 80.1,kPa,,,20:01.6,->,80.1
14:20:01.722 -> 74.3,kPa,,,20:01.7,->,74.3
14:20:01.812 -> 72.3,kPa,,,20:01.8,->,72.3
14:20:01.907 -> 72.3,kPa,,,20:01.9,->,72.3
14:20:02.002 -> 78.2,kPa,,,20:02.0,->,78.2
14:20:02.144 -> 80.1,kPa,,,20:02.1,->,80.1
14:20:02.239 -> 82.1,kPa,,,20:02.2,->,82.1
14:20:02.334 -> 87.9,kPa,,,20:02.3,->,87.9
14:20:02.428 -> 93.8,kPa,,,20:02.4,->,93.8
14:20:02.508 -> 95.7,kPa,,,20:02.5,->,95.7
14:20:02.650 -> 97.7,kPa,,,20:02.7,->,97.7
14:20:02.745 -> 97.7,kPa,,,20:02.7,->,97.7
14:20:02.840 -> 97.7,kPa,,,20:02.8,->,97.7
14:20:02.935 -> 97.7,kPa,,,20:02.9,->,97.7
14:20:03.030 -> 91.8,kPa,,,20:03.0,->,91.8
14:20:03.124 -> 95.7,kPa,,,20:03.1,->,95.7
