TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:41.475 -> The value of current in ma : 7925.86,,,,19:41.5,->,current ,ma,7925.86
14:19:41.616 -> The value of current in ma : 7971.94,,,,19:41.6,->,current ,ma,7971.94
14:19:41.711 -> The value of current in ma : 7925.86,,,,19:41.7,->,current ,ma,7925.86
14:19:41.853 -> The value of current in ma : 7948.90,,,,19:41.9,->,current ,ma,7948.9
14:19:41.949 -> The value of current in ma : 7948.90,,,,19:41.9,->,current ,ma,7948.9
14:19:42.076 -> The value of current in ma : 8018.02,,,,19:42.1,->,current ,ma,8018.02
14:19:42.218 -> The value of current in ma : 7971.94,,,,19:42.2,->,current ,ma,7971.94
14:19:42.313 -> The value of current in ma : 7971.94,,,,19:42.3,->,current ,ma,7971.94
14:19:42.440 -> The value of current in ma : 8018.02,,,,19:42.4,->,current ,ma,8018.02
14:19:42.582 -> The value of current in ma : 7971.94,,,,19:42.6,->,current ,ma,7971.94
14:19:42.724 -> The value of current in ma : 7994.98,,,,19:42.7,->,current ,ma,7994.98
14:19:42.818 -> The value of current in ma : 8064.10,,,,19:42.8,->,current ,ma,8064.1
14:19:42.961 -> The value of current in ma : 7994.98,,,,19:43.0,->,current ,ma,7994.98
14:19:43.055 -> The value of current in ma : 7971.94,,,,19:43.1,->,current ,ma,7971.94
14:19:43.198 -> The value of current in ma : 7925.86,,,,19:43.2,->,current ,ma,7925.86
14:19:43.293 -> The value of current in ma : 7971.94,,,,19:43.3,->,current ,ma,7971.94
14:19:43.421 -> The value of current in ma : 7971.94,,,,19:43.4,->,current ,ma,7971.94
14:19:43.563 -> The value of current in ma : 7971.94,,,,19:43.6,->,current ,ma,7971.94
14:19:43.659 -> The value of current in ma : 7948.90,,,,19:43.7,->,current ,ma,7948.9
14:19:43.800 -> The value of current in ma : 7971.94,,,,19:43.8,->,current ,ma,7971.94
14:19:43.895 -> The value of current in ma : 7902.82,,,,19:43.9,->,current ,ma,7902.82
14:19:44.038 -> The value of current in ma : 7879.78,,,,19:44.0,->,current ,ma,7879.78
14:19:44.132 -> The value of current in ma : 7971.94,,,,19:44.1,->,current ,ma,7971.94
14:19:44.273 -> The value of current in ma : 7925.86,,,,19:44.3,->,current ,ma,7925.86
14:19:44.416 -> The value of current in ma : 7925.86,,,,19:44.4,->,current ,ma,7925.86
14:19:44.511 -> The value of current in ma : 7948.90,,,,19:44.5,->,current ,ma,7948.9
14:19:44.652 -> The value of current in ma : 7948.90,,,,19:44.7,->,current ,ma,7948.9
14:19:44.746 -> The value of current in ma : 7971.94,,,,19:44.7,->,current ,ma,7971.94
14:19:44.888 -> The value of current in ma : 7948.90,,,,19:44.9,->,current ,ma,7948.9
14:19:44.999 -> The value of current in ma : 7902.82,,,,19:45.0,->,current ,ma,7902.82
14:19:45.143 -> The value of current in ma : 7948.90,,,,19:45.1,->,current ,ma,7948.9
14:19:45.238 -> The value of current in ma : 7925.86,,,,19:45.2,->,current ,ma,7925.86
14:19:45.381 -> The value of current in ma : 7948.90,,,,19:45.4,->,current ,ma,7948.9
14:19:45.476 -> The value of current in ma : 7902.82,,,,19:45.5,->,current ,ma,7902.82
14:19:45.618 -> The value of current in ma : 7948.90,,,,19:45.6,->,current ,ma,7948.9
14:19:45.713 -> The value of current in ma : 7948.90,,,,19:45.7,->,current ,ma,7948.9
14:19:45.856 -> The value of current in ma : 7925.86,,,,19:45.9,->,current ,ma,7925.86
14:19:45.950 -> The value of current in ma : 7925.86,,,,19:45.9,->,current ,ma,7925.86
14:19:46.092 -> The value of current in ma : 8041.06,,,,19:46.1,->,current ,ma,8041.06
14:19:46.233 -> The value of current in ma : 7948.90,,,,19:46.2,->,current ,ma,7948.9
14:19:46.359 -> The value of current in ma : 7948.90,,,,19:46.4,->,current ,ma,7948.9
