TimeStamp,,,,TimeStamp,,Specification,Unit,Value
17:19:38.018 -> The value of current in ma : 8709.23,,,,19:38.0,->,current,ma,8709.23
17:19:38.158 -> The value of current in ma : 8755.31,,,,19:38.2,->,current,ma,8755.31
17:19:38.252 -> The value of current in ma : 8709.23,,,,19:38.3,->,current,ma,8709.23
17:19:38.404 -> The value of current in ma : 8732.27,,,,19:38.4,->,current,ma,8732.27
17:19:38.491 -> The value of current in ma : 8663.15,,,,19:38.5,->,current,ma,8663.15
17:19:38.632 -> The value of current in ma : 8686.19,,,,19:38.6,->,current,ma,8686.19
17:19:38.726 -> The value of current in ma : 8686.19,,,,19:38.7,->,current,ma,8686.19
17:19:38.867 -> The value of current in ma : 8663.15,,,,19:38.9,->,current,ma,8663.15
17:19:39.007 -> The value of current in ma : 8663.15,,,,19:39.0,->,current,ma,8663.15
17:19:39.101 -> The value of current in ma : 8732.27,,,,19:39.1,->,current,ma,8732.27
17:19:39.243 -> The value of current in ma : 8686.19,,,,19:39.2,->,current,ma,8686.19
17:19:39.338 -> The value of current in ma : 8663.15,,,,19:39.3,->,current,ma,8663.15
17:19:39.482 -> The value of current in ma : 8686.19,,,,19:39.5,->,current,ma,8686.19
17:19:39.609 -> The value of current in ma : 8686.19,,,,19:39.6,->,current,ma,8686.19
17:19:39.704 -> The value of current in ma : 8755.31,,,,19:39.7,->,current,ma,8755.31
17:19:39.845 -> The value of current in ma : 8686.19,,,,19:39.8,->,current,ma,8686.19
17:19:39.939 -> The value of current in ma : 8732.27,,,,19:39.9,->,current,ma,8732.27
17:19:40.079 -> The value of current in ma : 8732.27,,,,19:40.1,->,current,ma,8732.27
17:19:40.220 -> The value of current in ma : 8663.15,,,,19:40.2,->,current,ma,8663.15
17:19:40.329 -> The value of current in ma : 8709.23,,,,19:40.3,->,current,ma,8709.23
17:19:40.475 -> The value of current in ma : 8732.27,,,,19:40.5,->,current,ma,8732.27
17:19:40.567 -> The value of current in ma : 8755.31,,,,19:40.6,->,current,ma,8755.31
17:19:40.710 -> The value of current in ma : 8732.27,,,,19:40.7,->,current,ma,8732.27
17:19:40.803 -> The value of current in ma : 8663.15,,,,19:40.8,->,current,ma,8663.15
17:19:40.946 -> The value of current in ma : 8732.27,,,,19:40.9,->,current,ma,8732.27
17:19:41.040 -> The value of current in ma : 8755.31,,,,19:41.0,->,current,ma,8755.31
17:19:41.182 -> The value of current in ma : 8686.19,,,,19:41.2,->,current,ma,8686.19
17:19:41.277 -> The value of current in ma : 8686.19,,,,19:41.3,->,current,ma,8686.19
17:19:41.434 -> The value of current in ma : 8709.23,,,,19:41.4,->,current,ma,8709.23
17:19:41.562 -> The value of current in ma : 8663.15,,,,19:41.6,->,current,ma,8663.15
17:19:41.658 -> The value of current in ma : 8709.23,,,,19:41.7,->,current,ma,8709.23
17:19:41.799 -> The value of current in ma : 8686.19,,,,19:41.8,->,current,ma,8686.19
17:19:41.892 -> The value of current in ma : 8732.27,,,,19:41.9,->,current,ma,8732.27
17:19:42.033 -> The value of current in ma : 8663.15,,,,19:42.0,->,current,ma,8663.15
17:19:42.127 -> The value of current in ma : 8686.19,,,,19:42.1,->,current,ma,8686.19
17:19:42.268 -> The value of current in ma : 8709.23,,,,19:42.3,->,current,ma,8709.23
17:19:42.410 -> The value of current in ma : 8709.23,,,,19:42.4,->,current,ma,8709.23
